2024-06-23 00:30:14,552 INFO    MainThread:6004 [wandb_setup.py:_flush():76] Current SDK version is 0.17.2
2024-06-23 00:30:14,554 INFO    MainThread:6004 [wandb_setup.py:_flush():76] Configure stats pid to 6004
2024-06-23 00:30:14,554 INFO    MainThread:6004 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Cong\.config\wandb\settings
2024-06-23 00:30:14,554 INFO    MainThread:6004 [wandb_setup.py:_flush():76] Loading settings from D:\Major8\-DSP391m-Forecasting-Financial-Time-Series-With-Transformer\wandb\settings
2024-06-23 00:30:14,554 INFO    MainThread:6004 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-06-23 00:30:14,554 INFO    MainThread:6004 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': 'D:\\Major8\\-DSP391m-Forecasting-Financial-Time-Series-With-Transformer\\train.py', 'program': 'D:\\Major8\\-DSP391m-Forecasting-Financial-Time-Series-With-Transformer\\train.py'}
2024-06-23 00:30:14,554 INFO    MainThread:6004 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-06-23 00:30:14,554 INFO    MainThread:6004 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-06-23 00:30:14,554 INFO    MainThread:6004 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-06-23 00:30:14,554 INFO    MainThread:6004 [wandb_init.py:_log_setup():520] Logging user logs to D:\Major8\-DSP391m-Forecasting-Financial-Time-Series-With-Transformer\wandb\run-20240623_003014-t8bvfi9s\logs\debug.log
2024-06-23 00:30:14,554 INFO    MainThread:6004 [wandb_init.py:_log_setup():521] Logging internal logs to D:\Major8\-DSP391m-Forecasting-Financial-Time-Series-With-Transformer\wandb\run-20240623_003014-t8bvfi9s\logs\debug-internal.log
2024-06-23 00:30:14,554 INFO    MainThread:6004 [wandb_init.py:init():560] calling init triggers
2024-06-23 00:30:14,554 INFO    MainThread:6004 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {}
2024-06-23 00:30:14,554 INFO    MainThread:6004 [wandb_init.py:init():610] starting backend
2024-06-23 00:30:14,555 INFO    MainThread:6004 [wandb_init.py:init():614] setting up manager
2024-06-23 00:30:14,559 INFO    MainThread:6004 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-06-23 00:30:14,561 INFO    MainThread:6004 [wandb_init.py:init():622] backend started and connected
2024-06-23 00:30:14,564 INFO    MainThread:6004 [wandb_init.py:init():711] updated telemetry
2024-06-23 00:30:14,607 INFO    MainThread:6004 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-06-23 00:30:15,248 INFO    MainThread:6004 [wandb_run.py:_on_init():2402] communicating current version
2024-06-23 00:30:15,455 INFO    MainThread:6004 [wandb_run.py:_on_init():2411] got version response 
2024-06-23 00:30:15,455 INFO    MainThread:6004 [wandb_init.py:init():795] starting run threads in backend
2024-06-23 00:30:15,803 INFO    MainThread:6004 [wandb_run.py:_console_start():2380] atexit reg
2024-06-23 00:30:15,803 INFO    MainThread:6004 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-06-23 00:30:15,803 INFO    MainThread:6004 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-06-23 00:30:15,804 INFO    MainThread:6004 [wandb_run.py:_redirect():2325] Redirects installed.
2024-06-23 00:30:15,806 INFO    MainThread:6004 [wandb_init.py:init():838] run started, returning control to user process
2024-06-23 00:30:15,807 INFO    MainThread:6004 [wandb_config.py:__setitem__():151] config set learning_rate = 1e-05 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000237A8566D00>>
2024-06-23 00:30:15,807 INFO    MainThread:6004 [wandb_run.py:_config_callback():1382] config_cb learning_rate 1e-05 None
2024-06-23 00:30:15,807 INFO    MainThread:6004 [wandb_config.py:__setitem__():151] config set epochs = 300 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000237A8566D00>>
2024-06-23 00:30:15,807 INFO    MainThread:6004 [wandb_run.py:_config_callback():1382] config_cb epochs 300 None
2024-06-23 00:30:15,808 INFO    MainThread:6004 [wandb_config.py:__setitem__():151] config set batch_size = 4 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000237A8566D00>>
2024-06-23 00:30:15,808 INFO    MainThread:6004 [wandb_run.py:_config_callback():1382] config_cb batch_size 4 None
2024-06-23 00:40:14,433 INFO    MainThread:6004 [wandb_run.py:_finish():2109] finishing run cong1/DSP391m-project/t8bvfi9s
2024-06-23 00:40:14,433 INFO    MainThread:6004 [wandb_run.py:_atexit_cleanup():2349] got exitcode: 0
2024-06-23 00:40:14,433 INFO    MainThread:6004 [wandb_run.py:_restore():2332] restore
2024-06-23 00:40:14,433 INFO    MainThread:6004 [wandb_run.py:_restore():2338] restore done
2024-06-23 00:40:20,486 INFO    MainThread:6004 [wandb_run.py:_footer_history_summary_info():3988] rendering history
2024-06-23 00:40:20,487 INFO    MainThread:6004 [wandb_run.py:_footer_history_summary_info():4020] rendering summary
2024-06-23 00:40:20,495 INFO    MainThread:6004 [wandb_run.py:_footer_sync_info():3947] logging synced files
